"id","journal_title","publishers_name","issn_number","link","aim_identifier","medline","google_scholar_index","impact_factor","sjr","h_index","eigen_factor","eigen_metrix","snip","snip_metrix","open_access_journal","listed_in_doaj","present_issn","publisher_in_cope","online_publisher_africa","hosted_on_inasps","country_id","language_id","platform_id","thematic_area_id"
"17","African Anthropologist"," Pan African Anthropological Association.",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"6","1","1","5"
"18","Cameroon Journal of Agricultural Science","nan",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,False,False,True,False,True,True,"6","1","1","4"
"19","Cameroon Journal of Experimental Biology","Cameroon Forum for Biological Sciences (CAFOBIOS)",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,False,False,True,False,True,True,"6","1","1","1"
"20","Clinics in Mother and Child Health","Ashdin Publishing",NULL,"nan",False,True,False,NULL,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"6","1","1","2"
"21","International Journal of Biological and Chemical Sciences"," International Formulae Group (IFG)",NULL,"nan",False,NULL,True,17,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"6","1","1","1"
"22","Investigational Medicinal Chemistry and Pharmacology","The University of Dschang",NULL,"nan",False,False,False,NULL,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"6","1","1","2"
"23","Journal of the Cameroon Academy of Sciences","Buea: Cameroon Academy of Sciences",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"6","1","1","1"
"24","Revue Africaine de Chirurgie et Spécialités","nan",NULL,"nan",False,NULL,True,1,False,NULL,False,"nan",False,NULL,False,False,True,False,True,True,"6","2","1","1"
"25","Journal of the Cameroon Academy of Sciences","Buea: Cameroon Academy of Sciences",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"6","1","1","1"
"26","Revue de Médecine et de Pharmacie"," University of Douala",NULL,"nan",False,False,False,NULL,False,NULL,False,"nan",False,NULL,False,False,True,False,True,True,"6","2","1","2"
"27","Abia State University Medical Students' Association Journal","Abia State University Teaching Hospital, Aba",NULL,"nan",False,False,False,NULL,False,NULL,False,"nan",False,NULL,False,False,False,False,True,True,"7","1","1","2"
"28","African Journal for the Psychological Study of Social Issues"," Claverianum Press",NULL,"nan",False,True,True,6,False,NULL,False,"nan",False,NULL,False,False,False,False,True,True,"7","1","1","2"
"29","African Journal of Anaesthesia and Intensive Care","Mirral Printing Press",NULL,"nan",False,True,False,NULL,False,NULL,False,"nan",False,NULL,False,False,False,False,True,True,"7","1","1","2"
"30","African Journal of Biomedical Research","Biomedical Communications Group",NULL,"nan",False,True,True,8,True,19,False,"nan",False,NULL,False,False,True,False,True,True,"7","1","1","2"
"31","African Journal of Clinical and Experimental Microbiology","nan",NULL,"nan",True,True,True,10,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","2"
"32","African Journal of Drug and Alcohol Studies","African Centre for Research and Information on Substance Abuse (CRISA)",NULL,"nan",False,True,False,NULL,True,10,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","2"
"33","African Journal of Economic Policy","nan",NULL,"nan",False,NULL,True,7,False,NULL,False,"nan",False,NULL,False,False,False,False,True,True,"7","1","1","3"
"34","African Journal of Endocrinology and Metabolism","Taylor & Francis",NULL,"nan",False,False,False,NULL,False,NULL,False,"nan",False,NULL,True,False,False,False,True,True,"7","1","1","2"
"35","African Journal of Environmental Science and Technology","nan",NULL,"nan",False,NULL,True,13,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","1"
"36","African Journal of Infectious Diseases","nan",NULL,"nan",True,True,True,12,True,15,False,"nan",False,NULL,True,True,True,True,True,True,"7","1","1","2"
"37","African Journal of International Affairs and Development","College Press & Publishers",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,False,False,True,False,True,True,"7","1","1","5"
"38","African Journal of Library, Archives and Information Science","Archlib and Information Services Ltd,",NULL,"nan",False,NULL,False,NULL,True,11,False,"nan",False,NULL,False,False,True,False,True,True,"7","1","1","5"
"39","African Journal of Livestock Extension","Dept. of Agricultural Extension and Rural Development. University of Ibadan",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,False,False,True,False,True,True,"7","1","1","1"
"40","African Journal of Oral Health","nan",NULL,"nan",False,False,False,NULL,False,NULL,False,"nan",False,NULL,False,False,True,False,True,True,"7","1","1","2"
"41","African Journal of Paediatric Nephrology","nan",NULL,"nan",False,False,False,NULL,False,NULL,False,"nan",False,NULL,False,False,False,False,True,True,"7","1","1","2"
"42","African Journal of Paediatric Surgery"," Medknow Publications",NULL,"nan",True,True,True,8,True,20,False,"nan",True,"0.33",False,False,True,True,False,True,"7","1","1","2"
"43","African Journal of Physiotherapy and Rehabilitation Sciences"," Department of Physiotherapy, College of Medicine University of Ibadan",NULL,"nan",False,True,False,NULL,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","2"
"44","African Journal of Reproductive Health","Women’s Health and Action Research Centre (WHARC).",NULL,"nan",True,True,True,23,True,46,False,"nan",True,"0.53",True,False,True,False,True,True,"7","1","1","2"
"45","African Journal of Social Issues","African Journal of Social Issues (AJOSI) ",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","5"
"46","African Journal of Sustainable Development","Centre for Sustainable Development, University of Ibadan",NULL,"nan",False,NULL,True,6,False,NULL,False,"nan",False,NULL,False,False,True,False,True,True,"7","1","1","5"
"47","African Journal of Traditional, Complementary and Alternative Medicines","African Traditional Herbal Medicine Supporters Initiative (ATHMSI)",NULL,"nan",True,NULL,True,NULL,True,53,False,"nan",False,NULL,True,False,False,False,True,True,"7","1","1","5"
"48","African Studies Monographs","Research Committee for African Area Studies, Kyoto University ",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,False,False,False,False,True,True,"7","1","1","5"
"49","Afrimedic Journal"," Association of Resident Doctors, Nnamdi Azikiwe University Teaching Hospital",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","2"
"50","Agro-Science","nan",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","4"
"51","Agrosearch","University of Ilorin ",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","4"
"52","Anchor University Journal of Science and Technology","Anchor University ",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,False,False,True,False,True,True,"7","1","1","1"
"53","Animal Production Research Advances","Tapas Institute of Scientific Research and Development",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,False,False,False,False,True,True,"7","1","1","4"
"54","Animal Research International","University of Nigeria",NULL,"nan",False,NULL,True,8,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","4"
"55","Annals of African Medicine"," Usmanu Danfodiyo University Teaching Hospital",NULL,"nan",True,True,True,17,True,30,False,"nan",True,"0.86",True,False,True,True,False,True,"7","1","1","2"
"56","Annals of Biomedical Sciences","nan",NULL,"nan",False,True,True,2,False,NULL,False,"nan",False,NULL,False,False,False,False,True,True,"7","1","1","2"
"57","Annals of Health Research","Medical and Dental Consultants Association of Nigeria, Olabisi Onabanjo University Teaching Hospital, Sagamu Branch, Sagamu, Nigeria",NULL,"nan",False,True,False,NULL,False,NULL,False,"nan",False,NULL,True,True,True,True,True,True,"7","1","1","2"
"58","Annals of Humanities and Development Studies","nan",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,False,False,False,False,True,True,"7","1","1","5"
"59","Annals of Ibadan Postgraduate Medicine","Association of Resident Doctors, University College Hospital",NULL,"nan",False,True,True,5,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","2"
"60","Annals of Medical and Health Sciences Research","NIGERIAN MEDICAL ASSOC, ENUGU STATE",NULL,"nan",True,True,True,12,False,NULL,False,"nan",False,NULL,False,True,True,False,True,True,"7","1","1","2"
"61","Annals of Modern Education","Innovation Forever Publishing Group Limited",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,False,False,True,False,True,True,"7","1","1","5"
"62","Annals of Nigerian Medicine"," Association of Resident Doctors of the Ahmadu Bello University Teaching hospital Zaria, Nigeria",NULL,"nan",False,True,False,NULL,False,NULL,False,"nan",False,NULL,False,False,True,False,True,True,"7","1","1","2"
"63","Arụmarụka: Journal of Conversational Thinking","Conversational Society of Philosophy",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,True,True,False,True,True,"7","1","1","5"
"64","Archives of Ibadan Medicine","Eurocommunica Publications, 2001",NULL,"nan",False,True,False,NULL,False,NULL,False,"nan",False,NULL,False,False,True,False,False,True,"7","1","1","2"
"65","ATBU Journal of Environmental Technology","Faculty of Environmental Technology, Abubakar Tafawa Balewa University",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,False,False,False,True,True,"7","1","1","1"
"66","Babcock University Medical Journal","Babcock Medical Society",NULL,"nan",True,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,True,True,False,True,True,"7","1","1","2"
"67","Bakolori Journal of General Studies","Abdu Gusau Polytechnic, Talata Mafara",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","5"
"68","Bayero Journal of Medical Laboratory Science"," Department of Medical Laboratory Science of Bayero University",NULL,"nan",False,True,False,NULL,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","2"
"69","Bayero Journal of Nursing and Health Care","Bayero University Press, Bayero University",NULL,"nan",False,False,False,NULL,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","2"
"70","Bayero Journal of Pure and Applied Sciences","Bayero University Press, Bayero University",NULL,"nan",False,NULL,True,8,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","1"
"71","Nigeria Journal of Postgraduate Medicine","Wolters Kluwer Medknow Publications",NULL,"nan",False,True,False,NULL,False,NULL,False,"nan",False,NULL,False,False,False,True,False,True,"7","1","1","2"
"72","Bio-Research","Faculty of Biological Sciences, University of Nigeria",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","1"
"73","Biokemistri","nan",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,False,False,False,True,True,"7","1","1","1"
"74","Borno Medical Journal","Medical and Dental Consultants",NULL,"nan",False,True,False,NULL,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","2"
"75","Bowen Journal of Agriculture","nan",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,False,False,False,False,True,True,"7","1","1","4"
"76","ChemSearch Journal","nan",NULL,"nan",False,NULL,True,8,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","1"
"77","Communicate: Journal of Library and Information Science","nan",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,False,False,False,False,True,True,"7","1","1","5"
"78","Counsellor (The)","nan",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,False,False,False,False,True,True,"7","1","1","5"
"79","Creative Artist: A Journal of Theatre and Media Studies","Department of Theatre and Film Studies, Nnamdi Azikiwe University, Awka",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,False,False,False,True,True,"7","1","1","5"
"80","Democracy & Development: Journal of West African Affairs","Centre for Democracy & Development",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,False,False,False,False,True,True,"7","1","1","5"
"81","Dutse Journal of Pure and Applied Sciences","The Faculty of Science, Federal University Dutse. Jigawa State, Nigeria",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","1"
"82","Ebonyi Medical Journal","Ebonyi State University. Teaching Hospital.",NULL,"nan",False,True,False,NULL,False,NULL,False,"nan",False,NULL,False,False,False,False,True,True,"7","1","1","2"
"83","Economic and Policy Review","nan",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,False,False,True,False,True,"7","1","1","3"
"84","Edo Journal of Counselling","nan",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","5"
"85","EJOTMAS: Ekpoma Journal of Theatre and Media Arts","Department of Theatre and Media Arts, Ambrose Alli University, Ekpoma, Nigeria",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","5"
"86","Environmental Technology and Science Journal","School of Environmental Technology, Federal University of Technology, Gidan Kwanu Campus, PMB 65, Minna, Nigeria",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","1"
"87","Equity Journal of Science and Technology"," Kebbi State University of Science and Technology, Aliero (KSUSTA) ",NULL,"nan",False,NULL,True,4,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","1"
"88","Filosofia Theoretica: Journal of African Philosophy, Culture and Religions","Conversational Society of Philosophy (CSP)",NULL,"nan",False,NULL,True,12,False,NULL,False,"nan",False,NULL,False,False,False,False,True,True,"7","1","1","5"
"89","FUOYE Journal of Engineering and Technology","University of Calabar",NULL,"nan",False,NULL,True,9,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","1"
"90","FUTY Journal of the Environment","School of Environmental Sciences, Modibbo Adama University of Technology",NULL,"nan",False,NULL,True,7,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","5"
"91","Gender and Behaviour","IFE Centre for phychological studies",NULL,"nan",False,NULL,True,13,False,NULL,False,"nan",False,NULL,False,False,True,False,True,True,"7","1","1","5"
"92","Global Approaches to Extension Practice: A Journal of Agricultural Extension","Department of Agricultural Extension, Federal University of Technology, Owerri, Imo State, Nigeria",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,False,False,False,False,True,True,"7","1","1","5"
"93","Global Journal of Agricultural Sciences"," Bachudo Science Co. Ltd.",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,False,False,False,True,True,"7","1","1","4"
"94","Global Journal of Community Medicine","Global Journal Series, Nigeria",NULL,"nan",False,True,False,NULL,False,NULL,False,"nan",False,NULL,True,False,False,False,True,True,"7","1","1","2"
"95","Global Journal of Educational Research","Bachudo Science Co. Ltd. ",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,False,False,False,True,True,"7","1","1","5"
"96","Global Journal of Engineering Research","nan",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,False,False,False,True,True,"7","1","1","1"
"97","Global Journal of Geological Sciences","Bachudo Science Co. Ltd. ",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,False,False,False,True,True,"7","1","1","1"
"98","Global Journal of Geological Sciences","Bachudo Science Co. Ltd. ",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,False,False,False,True,True,"7","1","1","1"
"99","Global Journal of Humanities","GSAR Publishers",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","5"
"100","Global Journal of Mathematical Sciences","nan",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,False,False,False,True,True,"7","1","1","1"
"101","Global Journal of Medical Sciences","Global Journal Series, University of Calabar, Nigeria",NULL,"nan",False,True,False,NULL,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","2"
"102","Global Journal of Pure and Applied Sciences","Bachudo Science Co. Ltd. ",NULL,"nan",False,NULL,True,9,False,NULL,False,"nan",False,NULL,True,False,False,False,True,True,"7","1","1","1"
"103","Global Journal of Social Sciences","Bachudo Science Co. Ltd.",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","5"
"104","Highland Medical Research Journal","Ziimeth communications",NULL,"nan",False,True,False,NULL,False,NULL,False,"nan",False,NULL,False,False,True,False,True,True,"7","1","1","2"
"105","Humanities Review Journal","nan",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,False,False,True,False,True,True,"7","1","1","5"
"106","Ibadan Journal of Humanistic Studies"," Faculty of Arts, University of Ibadan",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,False,False,True,False,True,True,"7","1","1","5"
"107","Ife Journal of Science"," Faculty of Science, Obafemi Awolowo University",NULL,"nan",False,NULL,True,12,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","1"
"108","IFE PsychologIA","Ife Center for Psychological Studies (I.C.P.S.)",NULL,"nan",False,True,True,9,False,NULL,False,"nan",False,NULL,False,False,False,False,True,True,"7","1","1","2"
"109","Ilorin Journal of Religious Studies","University of Ilorin",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","5"
"110","Information Impact: Journal of Information and Knowledge Management","Information Practitioners Network",NULL,"nan",False,NULL,True,9,False,NULL,False,"nan",False,NULL,True,True,True,False,True,True,"7","1","1","5"
"111","Information Manager (The)","nan",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","1"
"112","Information Technologist (The)","Association of Information Professionals of Nigeria",NULL,"nan",False,NULL,True,NULL,False,NULL,False,"nan",False,NULL,False,False,True,False,True,True,"7","1","1","1"
"113","International Journal of Agriculture and Rural Development","School of Agriculture and Agricultural Technology Federal University of Technology",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,False,False,True,False,True,True,"7","1","1","4"
"114","International Journal of Applied Agriculture and Apiculture Research","nan",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,False,False,False,True,True,"7","1","1","4"
"115","International Journal of Basic, Applied and Innovative Research","Anthonio Research Publications",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","1"
"116","International Journal of Community Research","Anthonio Research Publications",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","5"
"117","International Journal of Development and Management Review","nan",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","5"
"118","International Journal of Development and Policy Studies","nan",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,False,False,True,False,True,True,"7","1","1","5"
"119","International Journal of Educational Research","nan",NULL,"nan",False,NULL,True,52,False,NULL,False,"nan",False,NULL,True,True,True,True,False,True,"7","1","1","5"
"120","International Journal of Engineering, Science and Technology","MultiCraft",NULL,"nan",False,NULL,True,10,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","1"
"121","International Journal of Health Research","Pharmacotherapy Group",NULL,"nan",False,True,False,NULL,True,9,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","2"
"122","International Journal of Herbs and Pharmacological Research","Anthonio Research Publications",NULL,"nan",False,True,False,NULL,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","2"
"123","International Journal of Malaria and Tropical Diseases (IJMTD)","Advanced Scholars Journals.",NULL,"nan",False,True,False,NULL,False,NULL,False,"nan",False,NULL,False,False,False,False,True,True,"7","1","1","2"
"124","International Journal of Medicine and Biomedical Research","Michael Joanna Publications",NULL,"nan",False,True,False,NULL,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","2"
"125","International Journal of Medicine and Health Development","College of Medicine, University of Nigeria",NULL,"nan",False,False,False,NULL,False,NULL,False,"nan",False,NULL,False,False,True,False,True,True,"7","1","1","2"
"126","International Journal of Natural and Applied Sciences","nan",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,False,False,True,False,True,True,"7","1","1","1"
"127","International Journal of Tropical Agriculture and Food Systems","nan",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,False,False,False,False,True,True,"7","1","1","4"
"128","Jos Journal of Medicine","Association of Resident Doctors of Jos University Teaching HospitaL",NULL,"nan",False,True,False,NULL,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","2"
"129","Journal of African Association of Physiological Sciences","Department of Human Physiology,Faculty of Basic Medical Sciences, ",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","1"
"130","Journal of Agricultural Extension","nan",NULL,"nan",False,NULL,True,13,True,8,False,"nan",True,"0.29",True,True,True,False,True,True,"7","1","1","4"
"131","Journal of Agricultural Research and Development","nan",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,False,False,True,False,True,True,"7","1","1","4"
"132","Journal of Agriculture and Food Sciences","nan",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,False,True,True,False,True,"7","1","1","4"
"133","Journal of Agriculture and Social Research (JASR)"," Agricultural Volunteers of Nigeria (AgVON)",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","4"
"134","Journal of Agriculture, Forestry and the Social Sciences","nan",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,False,False,False,False,True,True,"7","1","1","4"
"135","Journal of Applied Chemistry and Agricultural Research","nan",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,False,False,False,False,True,True,"7","1","1","4"
"136","Journal of Applied Science, Engineering and Technology"," INSTEP Publishing Network",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,False,False,True,False,True,True,"7","1","1","1"
"137","Journal of Applied Sciences and Environmental Management","Department of Pure & Industrial Chemistry, University of Port Harcourt, Nigeria.",NULL,"nan",False,NULL,True,21,False,NULL,False,"nan",False,NULL,True,False,False,False,True,True,"7","1","1","1"
"138","Journal of Aquatic Sciences","Taylor and Francis Ltd",NULL,"nan",False,NULL,True,18,False,NULL,False,"nan",False,NULL,False,False,True,True,False,True,"7","1","1","1"
"139","Journal of Basic and Clinical Reproductive Sciences","Society of Reproductive Biologists ",NULL,"nan",False,True,False,NULL,False,NULL,False,"nan",False,NULL,True,False,True,True,False,True,"7","1","1","2"
"140","Journal of Biomedical Investigation","Biomedical Research Association of Nigeria (BRAN) of the College of Health Sciences, Nnamdi Azikiwe University, Awka",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,False,False,False,False,True,True,"7","1","1","1"
"141","Journal of Community Medicine and Primary Health Care"," Association of Public Health Physicians of Nigeria.",NULL,"nan",False,True,False,NULL,False,NULL,False,"nan",False,NULL,True,False,False,False,True,True,"7","1","1","2"
"142","Journal of Computer Science and Its Application","Science and Education Publishing",NULL,"nan",False,NULL,True,6,False,NULL,False,"nan",False,NULL,False,False,True,False,True,True,"7","1","1","1"
"143","Journal of Cultural Studies"," Nigerian Group for the Study of African Cultures (NIGSAC)",NULL,"nan",False,NULL,False,NULL,False,NULL,True,"0.1",False,NULL,False,False,True,True,False,True,"7","1","1","5"
"144","Journal of Dietitians Association of Nigeria","Dietitians Association of Nigeria (DAN)",NULL,"nan",False,True,False,NULL,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"7","1","1","2"
"145","Journal of Educational Foundations","nan",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,False,False,True,False,True,True,"7","1","1","5"
"146","Journal of Environmental Extension","nan",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,False,False,True,False,True,True,"7","1","1","1"
"147","Journal of Experimental and Clinical Anatomy","Medknow Publications and Media Pvt. Ltd.",NULL,"nan",False,True,False,NULL,False,NULL,False,"nan",False,NULL,False,False,True,False,True,True,"7","1","1","2"
"148","Journal of Health and Visual Sciences","East African Nature and Science Organization",NULL,"nan",False,False,False,NULL,False,NULL,False,"nan",False,NULL,False,False,False,False,True,True,"7","1","1","2"
"149","Journal of History and Diplomatic Studies","Dept. of History and Diplomatic Studies, Olabisi Onabanjo University, Ago-Iwoye, Nigeria",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,False,False,True,False,True,True,"7","1","1","5"
"150","Journal of Librarianship and Information Science in Africa","nan",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,False,False,False,False,True,True,"7","1","1","5"
